,Port,Port_Code,State_Country,Port_Name
ALC,"ALCAN, AK             ",ALC,AK,ALCAN
ANC,"ANCHORAGE, AK         ",ANC,AK,ALCAN
BAR,"BAKER AAF - BAKER ISLAND, AK",BAR,AK,ALCAN
DAC,"DALTONS CACHE, AK     ",DAC,AK,ALCAN
PIZ,"DEW STATION PT LAY DEW, AK",PIZ,AK,ALCAN
DTH,"DUTCH HARBOR, AK      ",DTH,AK,ALCAN
EGL,"EAGLE, AK             ",EGL,AK,ALCAN
FRB,"FAIRBANKS, AK         ",FRB,AK,ALCAN
HOM,"HOMER, AK             ",HOM,AK,ALCAN
HYD,"HYDER, AK             ",HYD,AK,ALCAN
JUN,"JUNEAU, AK            ",JUN,AK,ALCAN
5KE,"KETCHIKAN, AK",5KE,AK,ALCAN
KET,"KETCHIKAN, AK         ",KET,AK,ALCAN
MOS,"MOSES POINT INTERMEDIATE, AK",MOS,AK,ALCAN
NIK,"NIKISKI, AK           ",NIK,AK,ALCAN
NOM,"NOM, AK               ",NOM,AK,ALCAN
PKC,"POKER CREEK, AK       ",PKC,AK,ALCAN
ORI,"PORT LIONS SPB, AK",ORI,AK,ALCAN
SKA,"SKAGWAY, AK           ",SKA,AK,ALCAN
SNP,"ST. PAUL ISLAND, AK",SNP,AK,ALCAN
TKI,"TOKEEN, AK",TKI,AK,ALCAN
WRA,"WRANGELL, AK          ",WRA,AK,ALCAN
HSV,"MADISON COUNTY - HUNTSVILLE, AL",HSV,AK,ALCAN
MOB,"MOBILE, AL            ",MOB,AK,ALCAN
LIA,"LITTLE ROCK, AR (BPS)",LIA,AK,ALCAN
ROG,"ROGERS ARPT, AR",ROG,AK,ALCAN
DOU,"DOUGLAS, AZ           ",DOU,AK,ALCAN
LUK,"LUKEVILLE, AZ         ",LUK,AK,ALCAN
MAP,MARIPOSA AZ           ,MAP,AK,ALCAN
NAC,"NACO, AZ              ",NAC,AK,ALCAN
NOG,"NOGALES, AZ           ",NOG,AK,ALCAN
PHO,"PHOENIX, AZ           ",PHO,AK,ALCAN
POR,"PORTAL, AZ",POR,AK,ALCAN
SLU,"SAN LUIS, AZ          ",SLU,AK,ALCAN
SAS,"SASABE, AZ            ",SAS,AK,ALCAN
TUC,"TUCSON, AZ            ",TUC,AK,ALCAN
YUI,"YUMA, AZ              ",YUI,AK,ALCAN
AND,"ANDRADE, CA           ",AND,AK,ALCAN
BUR,"BURBANK, CA",BUR,AK,ALCAN
CAL,"CALEXICO, CA          ",CAL,AK,ALCAN
CAO,"CAMPO, CA             ",CAO,AK,ALCAN
FRE,"FRESNO, CA            ",FRE,AK,ALCAN
ICP,"IMPERIAL COUNTY, CA   ",ICP,AK,ALCAN
LNB,"LONG BEACH, CA         ",LNB,AK,ALCAN
LOS,"LOS ANGELES, CA       ",LOS,AK,ALCAN
BFL,"MEADOWS FIELD - BAKERSFIELD, CA",BFL,AK,ALCAN
OAK,"OAKLAND, CA ",OAK,AK,ALCAN
ONT,"ONTARIO, CA",ONT,AK,ALCAN
