,Port,Port_Code,State_Country,Port_Name
0,"ALCAN, AK             ",ALC,AK,ALCAN
1,"ANCHORAGE, AK         ",ANC,AK,ANCHORAGE
2,"BAKER AAF - BAKER ISLAND, AK",BAR,AK,BAKER AAF - BAKER ISLAND
3,"DALTONS CACHE, AK     ",DAC,AK,DALTONS CACHE
4,"DEW STATION PT LAY DEW, AK",PIZ,AK,DEW STATION PT LAY DEW
5,"DUTCH HARBOR, AK      ",DTH,AK,DUTCH HARBOR
6,"EAGLE, AK             ",EGL,AK,EAGLE
7,"FAIRBANKS, AK         ",FRB,AK,FAIRBANKS
8,"HOMER, AK             ",HOM,AK,HOMER
9,"HYDER, AK             ",HYD,AK,HYDER
10,"JUNEAU, AK            ",JUN,AK,JUNEAU
11,"KETCHIKAN, AK",5KE,AK,KETCHIKAN
12,"KETCHIKAN, AK         ",KET,AK,KETCHIKAN
13,"MOSES POINT INTERMEDIATE, AK",MOS,AK,MOSES POINT INTERMEDIATE
14,"NIKISKI, AK           ",NIK,AK,NIKISKI
15,"NOM, AK               ",NOM,AK,NOM
16,"POKER CREEK, AK       ",PKC,AK,POKER CREEK
17,"PORT LIONS SPB, AK",ORI,AK,PORT LIONS SPB
18,"SKAGWAY, AK           ",SKA,AK,SKAGWAY
19,"ST. PAUL ISLAND, AK",SNP,AK,ST. PAUL ISLAND
20,"TOKEEN, AK",TKI,AK,TOKEEN
21,"WRANGELL, AK          ",WRA,AK,WRANGELL
22,"MADISON COUNTY - HUNTSVILLE, AL",HSV,AL,MADISON COUNTY - HUNTSVILLE
23,"MOBILE, AL            ",MOB,AL,MOBILE
24,"LITTLE ROCK, AR (BPS)",LIA,AR,LITTLE ROCK
25,"ROGERS ARPT, AR",ROG,AR,ROGERS ARPT
26,"DOUGLAS, AZ           ",DOU,AZ,DOUGLAS
27,"LUKEVILLE, AZ         ",LUK,AZ,LUKEVILLE
28,"MARIPOSA, AZ           ",MAP,AZ,MARIPOSA
29,"NACO, AZ              ",NAC,AZ,NACO
30,"NOGALES, AZ           ",NOG,AZ,NOGALES
31,"PHOENIX, AZ           ",PHO,AZ,PHOENIX
32,"PORTAL, AZ",POR,AZ,PORTAL
33,"SAN LUIS, AZ          ",SLU,AZ,SAN LUIS
34,"SASABE, AZ            ",SAS,AZ,SASABE
35,"TUCSON, AZ            ",TUC,AZ,TUCSON
36,"YUMA, AZ              ",YUI,AZ,YUMA
37,"ANDRADE, CA           ",AND,CA,ANDRADE
38,"BURBANK, CA",BUR,CA,BURBANK
39,"CALEXICO, CA          ",CAL,CA,CALEXICO
40,"CAMPO, CA             ",CAO,CA,CAMPO
41,"FRESNO, CA            ",FRE,CA,FRESNO
42,"IMPERIAL COUNTY, CA   ",ICP,CA,IMPERIAL COUNTY
